,id,name,description,employer.name
0,54957035,TeamLead Frontend / Руководитель разработки,"<p>Ищем тимлида на задачу миграции ОДДО (Операционный день дополнительного офиса) на целевую платформу. Данная система используется в качестве свода всех операций и событий, которые происходят в других продуктовых системах банка (вклады, карты, переводы и так далее). Мигрировать нужно такие функции как открытие/закрытие операционного дня, включение сотрудников в состав смены филиала, настройку лимитов рабочих мест и лимитов на операцию, подписание электронных документов, предоставление отчетности, аудит событий и другие.</p> <p>Тех.стек фронта старой АС – Struts, Spring MVC, JSP, JS/jQuery.</p> <p>Работа ведется в соответствии с принципами Agile, команда кроссфункциональная, работа по спринтам, регулярные 15-минутные daily.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Найм разработчиков в команду, оценка их эффективности</li> <li>Ведение общих активностей по всем разработчикам (общие встречи, обучение, коучинг и т.п.)</li> <li>Выстраивание процесса и контроль рефакторинга и ревью кода, написанного разработчиками</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт промышленной разработки на React от 3 лет</li> <li>Опыт разработки на Redux от 3 лет</li> <li>Навык работы с Git, Jira</li> <li>Опыт работы TeamLead Frontend от года</li> </ul> <p><strong>Будет плюсом</strong><strong>:</strong></p> <ul> <li>Участие в код ревью и командной работы с разработчиками</li> <li>Опыт написания unit-тестов (React Test Library)</li> </ul> <strong>Условия:</strong> <ul> <li>Конкурентная заработная плата (оклад + годовые премии)</li> <li>Возможность совмещать очный и удаленный формат работы</li> <li>Социальный пакет (ДМС, страхование от несчастных случаев, льготное кредитование)</li> <li>Материальная помощь при наступлении значимых событий в жизни</li> <li>Комфортный офис на м. Кутузовская, Сбербанк Agile Home (от метро 3-5 минут пешком)</li> <li>Бесплатный тренажерный зал и спортивные групповые занятия, кухни на каждом этаже, комнаты отдыха, множество ресторанов и столовая</li> <li>Подарки и мероприятия для детей сотрудников. Оздоровительные программы для детей сотрудников</li> <li>Возможность принять участие в других крупных и уникальных проектах банка.</li> </ul>",Сбербанк
0,55844452,Product owner инструмента ценообразования,"<p>В команду Fair Pricing (Блок Финансы) ищем Product Owner для развития инструмента ценообразования кредитов для юридических лиц.</p> <p><strong>Что нужно делать:</strong></p> <p>· Выстраивать взаимодействия и управлять ожиданиями стейкхолдеров</p> <p>· работать с обратной связью от смежных команд</p> <p>· Вести проекты по развитию кредитных процессов</p> <p>· Формировать общий план развития продукта (roadmap), backlog разработки</p> <p>· Выполнять календарное и ресурсное планирование разработки продукта</p> <p>· Координировать работу задействованных подразделений Банка: команды разработки продукта, методологов Казначейства, Смежных команд бизнес-блоков, юристов, комплаенс, и службы безопасности</p> <p>· Анализировать существующие клиентские пути и процессы, работать с продуктовыми метриками и обратной связью конечных пользователей</p> <p>· Контролировать и вести отчет по разработке продуктов</p> <p><strong>Требования</strong></p> <p>· Общий опыт работы в банковской сфере не менее 3-х лет</p> <p>· Руководящий опыт не менее 1 года</p> <p>· Понимание бизнеса по кредитованию юридических лиц</p> <p>· Желателен опыт работы в роли Product Owner или Product Manager</p> <p>· Умение определять и контролировать kpi продукта и принимать продуктовые решения</p> <p>· Умение объяснить сложные продуктовые решения простым языком и навыки построения презентации</p> <p><strong>Условия</strong></p> <p>· Работа в крупнейшем банке России;</p> <p>· Регулярное корпоративное обучение;</p> <p>· ДМС с первого дня;</p> <p>· Материальная помощь и социальная поддержка, корпоративная пенсионная программа;</p> <p>· Льготные условия кредитования.</p>",Сбербанк
0,55363987,Frontend QA Engineer на сайт SberDevices.ru,"<p>SberDevices – уникальное IT-пространство, созданное в 2019 году (входит в группу компаний Сбер). Мы создаём идеи, самостоятельно разрабатываем продукты, занимаемся прототипированием, конструированием, придумываем дизайн, программные решения, контролируем качество на фабриках и создаём инструменты для аппаратного тестирования. Для того, чтобы эти продукты были умными, мы создаём виртуального ассистента Салют и строим вокруг него экосистему сервисов, помогающих пользователям во многих задачах. В основе лежат современные модели обработки естественного языка (NLP — Natural Language Processing), речевые технологии, алгоритмы компьютерного зрения, разрабатываем системы биометрии, модели для генерации медиаконтента и даже нейроинтерфейсы. Мы используем последние разработки в области искусственного интеллекта и машинного обучении.<br />Ищем QA Engineer на WEB-сайт Sberdevices.ru.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Функциональное тестирование Web-приложений на разных поверхностях-устройствах (нативные устройства desktop/mobile/tablet);</li> <li>Написание и поддержка тестовой документации (писать и актуализировать тест-кейсы в Zephyr for Jira);</li> <li>Сопровождение релизова, принятие решение о выкладке, мониторинг качества продукта;</li> <li>Участие в scrum-активностях внутри проудктовой команды (планирование, ретро, демо и т.д., есть возможность прокачать скиллы в направлении scrum-мастерства);</li> <li>Груминг бэклога (разбор багов на актуальность, согласование приоритетов, подготовка списка критичных багов к планированию);</li> <li>Валидация написанных разработчиками автотестов на соотсветвие тест-кейсам (есть возможность развиваться в направлении автоматизации на стеке JS/Cypress);</li> <li> <p>WEB-сайт Sberdevices.ru (лендинги с презентацией всех наших устройств + e-com с возможностью оформления заказа/предзаказа любого девайса).</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Опыт функционального тестирования WEB-приложений (опыт тестирования мобильных приложений IOS/Android также рассматриваем) от 2-3 лет;</li> <li>Понимание процессов разработки продуктовых команд (в идеале если есть опыт налаживания Scrum-процессов);</li> <li>Понимание клиент-серверной архитектуры (базовые знания HTTP-протокола: структура, методы);</li> <li>Опыт ведения тестовой документации (знания техник тест-дизайна) и баг-трекинговыми системами.﻿<br /><br />Будет плюсом (но совсем не обязательно):</li> <li>Умение работать с Git;</li> <li>Умение рабтать с DevTools и Remote Devices;</li> <li>Умение читать JS-код (достаточно примерного понимания какие изменения внесены в коде, не обязательно в деталях).</li> </ul> <p><strong>Мы ценим своих сотрудников и предлагаем:</strong></p> <ul> <li>Конкурентные условия труда (белая заработная плата, оклад, премии);</li> <li>Возможность работать на удаленке</li> <li>Курсы повышения квалификации несколько раз в год;</li> <li>Возможность посещения (как в качестве слушателя, так и в качестве выступающего) всероссийских и международных IT-конференций;</li> <li>График работы – стандартный, но с гибким подходом;</li> <li>ДМС для сотрудников и скидки на медицинскую страховку для родственников;</li> <li>Большой и комфортный офис со спортзалом, игровой комнатой, столами для пинг-понга, кафе для сотрудников;</li> <li>Широкий спектр дисконт–программ, скидок и привилегий от компаний-партнеров.</li> </ul>",Сбербанк
0,55457153,Ведущий специалист судебного и исполнительного производства,"<p><strong>Обязанности</strong></p> <ul> <li>Взыскание просроченной задолженности с физических лиц на судебной стадии и стадии исполнительного производства</li> <li>Осуществление выездов к клиентам, проведение переговоров с должниками</li> <li>Проведение телефонных переговоров с должниками</li> <li>Контроль погашения просроченной задолженности</li> <li>Представление интересов Банка по вопросам погашения просроченной задолженности в органах власти</li> </ul> <p><strong>Требования</strong></p> <ul> <li>Специалист со средним специальным, неоконченным высшим или высшим образованием</li> <li>Опыт работы по взысканию задолженности на этапе исполнительного производства от 1 года</li> <li>Успешный опыт проведения переговоров, развитые коммуникативные навыки</li> <li>Умение работать в режиме многозадачности</li> <li>Готовность к работе разъездного характера</li> </ul> <p><strong>Условия</strong></p> <ul> <li>Оформление согласно Трудовому кодексу</li> <li>Зарплата плюс премии по итогам работы</li> <li>График работы 9-18 пн-пт</li> <li>ДМС для сотрудников и льготная медицинская страховка для близких</li> <li>Регулярное корпоративное обучение</li> <li>Скидки на продукты банка и экосистемы</li> </ul>",Сбербанк
0,55561653,Старший клиентский менеджер,"<p>Сбер — лучший работодатель России. У нас более 60 компаний экосистемы и 14 тысяч подразделений по всей стране.</p> <p>Мы ищем старшего менеджера по сопровождению клиентов. Его главная задача – помогать клиентам с оформлением продуктов и услуг Сбера и экосистемы, а также консультировать по возникающим вопросам. Эта вакансия для тех, кто хочет развивать навыки эффективных продаж и стоить карьеру в банковской сфере.</p> <p><strong>Эта работа подойдет тебе если ты:</strong></p> <ul> <li>специалист со средним профессиональным, неполным высшим или высшим образованием</li> <li>имеешь опыт работы в сфере продаж, обслуживания и консультирования клиентов от 6 месяцев</li> <li>доброжелателен и готов помогать клиентам.</li> </ul> <p> </p> <p><strong>Тебе предстоит:</strong></p> <p> </p> <ul> <li>предлагать продукты и услуги Сбера</li> <li>консультировать клиентов по возникающим вопросам</li> <li>помогать клиентам оформлять услуги и необходимые для них документы</li> <li>совершать транзакционные операции в рамках оформления продаж и постпродажного сопровождения клиентов</li> <li>вести базы клиентов.</li> </ul> <p> </p> <p><strong>Работа в Сбере – это: </strong></p> <ul> <li>официальное оформление с первого дня</li> <li>ДМС с первого дня и льготное страхование для близких</li> <li>стабильный оклад и премии по результатам работы</li> <li>регулярное обучение за счет компании и возможность карьерного роста</li> <li>ипотека выгоднее на 4% для каждого сотрудника</li> <li>льготные условия кредитования</li> <li>бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров: Okko, Сбер Маркет, Delivery Club, Самокат, Ситимобил, Сбер Еаптека и других</li> <li>реферальная программа для сотрудников: можно пригласить в команду знакомых профессионалов и получить вознаграждение до 100 тыс. рублей</li> <li>корпоративная пенсионная программа.</li> </ul> <p> </p> <p>Присоединяйся к команде старших клиентских менеджеров Сбера!</p>",Сбербанк
0,55316023,Риск-менеджер по кредитованию крупных корпоративных клиентов,"<p><strong>Обязанности:</strong></p> <ul> <li>идентификация, анализ и оценка кредитных рисков клиентов Банка среднего, крупного и крупнейшего сегментов бизнеса</li> <li>взаимодействие с внутренними подразделениями по вопросам корректного структурирования сделки (в т.ч. утверждение внутреннего рейтинга Клиента)</li> <li>внесение предложений по корректировке/изменению структуры сделок с целью оптимизации кредитных рисков корпоративных клиентов</li> <li>подготовка независимого профессионального суждения об оценке кредитных рисков (заключения)</li> <li>выступление на кредитных комитетах (защита заключения)</li> <li>принятие решений по сделкам на коллегиальных органах банка (участие в кредитном комитете с правом блокирования принятия положительного решения)</li> <li>совершенствование подходов к риск-анализу клиентов с учетом отраслевой специфики</li> <li>наставничество.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>законченное высшее экономическое образование (желательно по специализации «Финансовый менеджмент»)</li> <li>знание анализа ФХД предприятий, включая анализ бухгалтерской/финансовой отчетности</li> <li>знание принципов и особенностей составления консолидированной отчетности</li> <li>умение строить и проводить анализ/тестирование моделей движения денежных средств</li> <li>знание и понимание особенностей анализа инвестиционных проектов;</li> <li>понимание принципов риск-менеджмента и желание профессионального развития в данном направлении</li> <li>аналитический склад ума, вариативное мышление, стрессоустойчивость, способность аргументировано и дипломатично отстаивать свою позицию, стремление к знаниям и обучаемость, командность, активная жизненная позиция.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>трудоустройство согласно ТК РФ</li> <li>гарантированный доход плюс премиальное вознаграждение</li> <li>ипотека выгоднее на 4% для каждого сотрудника</li> <li>льготные условия кредитования</li> <li>ДМС с первого дня и льготное страхование для близких</li> <li>бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров: Okko, Сбер Маркет, Delivery Club, Самокат, Ситимобил, Сбер Еаптека и другие</li> <li>корпоративная пенсионная программа</li> <li>обучение за счет компании: онлайн курсы в Виртуальной школе Сбера, возможность получить новую квалификацию</li> <li>курсы для будущих родителей, материальная поддержка молодых мам, детский отдых и подарки за счет компании</li> <li>реферальная программа для сотрудников: можно пригласить в команду знакомых профессионалов и получить вознаграждение до 100 тыс. рублей</li> <li>работа в комфортном и просторном офисе по адресу ул. Львовская (от ст. метро Ладожская и Пл. Ленина до Бизнес-центра запущен трансфер).</li> </ul>",Сбербанк
0,55511902,Старший менеджер по обслуживанию (с.Большие Ясырки),"<p>Сбер — это более 60 компаний экосистемы, 14 тысяч подразделений, а масштабы компании и система поддержки сотрудников открывают возможности для карьеры в любом направлении.</p> <p>Мы ищем старших менеджеров по обслуживанию клиентов Сбера. Это специалисты, которые проводят операции клиентов отделения банка.</p> <p><strong>Эта работа подойдет тебе если ты:</strong></p> <ul> <li>хочешь стать экспертом в банковской сфере</li> <li>доброжелателен и готов помогать клиентам</li> <li>специалист со средним профессиональным, неполным высшим или высшим образованием</li> <li>владеешь программами Microsoft Office, Outlook</li> <li>готов к работе, предполагающей ежедневное проведение однотипных операций.</li> </ul> <p><strong>Тебе предстоит:</strong></p> <ul> <li>осуществлять операции по обслуживанию клиентов</li> <li>проводить кассовые операции: прием, выдача, обмен денег</li> <li>предлагать продукты и сервисы Сбера</li> <li>консультировать клиентов по возникающим вопросам.</li> </ul> <p><strong>Работа в Сбере – это: </strong></p> <ul> <li>стабильный оклад и социальная поддержка сотрудников</li> <li>официальное оформление с первого дня</li> <li>ДМС с первого дня и льготное страхование для близких</li> <li>корпоративное обучение за счет компании</li> <li>бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров: Okko, Сбер Маркет, Delivery Club, Самокат, Сбер Еаптека и других</li> <li>корпоративная пенсионная программа</li> <li>ипотека выгоднее на 4% для каждого сотрудника.</li> </ul> <p> </p> <p>Присоединяйся к команде старших менеджеров по обслуживанию Сбера!</p> <p> </p>",Сбербанк
0,55130751,Support Head,"<p>Мы – EcommTech-команда Сбера, создаём лучший клиентский опыт на рынке e-commerce. На данный момент в индустрию электронной коммерции Сбера входят: СберМаркет, СберМегаМаркет, СБЕР ЕАПТЕКА, СберЛогистика, Самокат. Разрабатываем высоконагруженные системы и ИТ продукты для многомиллионной аудитории на основе AI/ML решений, работаем на принципах Highload, Serverless, DBless, Kappa-architecture.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Организация схемы поддержки с нуля для продуктов и проектов ecomm c распределенными командами;</li> <li> Организация работы 1-й и 2-й линии поддержки;</li> <li>Управление командой специалистов 1-й и 2-й линии поддержки: управление загруженностью, постановка и контроль выполнения задач, разработка и корректировка KPI, подготовка отчетов о результатах работы подразделения;</li> <li> Разработка, контроль и обеспечение исполнения SLA на 1-й и 2-й линии поддержки пользователей;</li> <li> Анализ качества обслуживания заявок, проверка корректности их обработки на линиях поддержки сервисов, совершенствование работы 1-й и 2-й линии поддержки;</li> <li> Организация, ведение и актуализация технической базы знаний;</li> <li> Контроль аварийных ситуация (Problem Management);</li> <li>Учет оборудования 1С Itil Service Desk;</li> <li>Поиск программно-аппаратных решений, выдвижение предложений по их использованию в Компании;</li> <li>Взаимодействие с подрядчиками по заявкам на ремонт и закупку оборудования;</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Успешный опыт руководства группой технических специалистов от 5 лет;</li> <li><strong>Понимание</strong> работы серверных решений;</li> <li>Преимуществом будет опыт администрирования;</li> <li> Опыт администрирования облачных систем;</li> <li>Опыт работы в системах учета входящих заявок (желательно в Jira);</li> <li>Навык выстраивания процессов поддержки: от мониторингов и обработки инцидентов до эскалаций;</li> <li>Глубокое понимание современного стека технологий и всех этапов сопровождения продукта;</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Профессиональное обучение, семинары, тренинги, конференции, корпоративная библиотека;</li> <li>ДМС, страхование жизни;</li> <li>Самые инновационные, амбициозные проекты и задачи;</li> <li>Свободный дресс-код;</li> <li>Гибкий график для оптимального баланса работы и личной жизни;</li> <li>Льготные кредиты и корпоративные скидки;</li> <li>Конкурентная компенсация (оклад и премии по результатам деятельности).</li> <li>Локация офиса: БЦ Поклонка Плейс, Поклонная пл., д3. МЦК Кутузовская.</li> </ul> <p>#SberEcommTech </p>",Сбербанк
0,55842360,Старший специалист по взысканию задолженности,"<p>Специалист по взысканию помогает клиентам, попавшим в сложную финансовую ситуацию. Эта работа для тех, кто ценит стабильность, хочет работать по четким правилам и стандартам и иметь достойный заработок.</p> <p> </p> <p><strong>Задачи:</strong></p> <ul> <li>Ездить к клиентам по месту жительства или работы</li> <li>Вести переговоры с клиентами банка с целью возврата просроченной задолженности (лично и по телефону)</li> <li>Собирать информацию о клиентах и участниках кредитной сделки: адреса, которые нужно посетить, контактные телефоны</li> <li>Консультировать и собирать документы для сделок урегулирования проблемной задолженности, проверять состояние предмета залога</li> <li>Помогать клиентам, попавшим в тяжелую жизненную ситуацию</li> </ul> <p> </p> <p><strong>Мы ждем, что ты:</strong></p> <ul> <li>Специалист со средним специальным, неоконченным высшим или высшим образованием</li> <li>Готов к разъездной работе.</li> <li>Умеешь справляться со стрессом и ориентирован на результат</li> <li>Готов работать в условиях ежемесячных финансовых целей</li> <li>Легко находишь общий язык с людьми разного возраста, пола и социального статуса</li> <li>Настойчив в преодолении препятствий и мотивирован на решение амбициозных задач</li> </ul> <p> </p> <p>Опыт эффективного взыскания проблемной задолженности будет преимуществом</p> <p> </p> <p> </p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>зарплата плюс премии по итогам работы</li> <li>гибкий график: с 12 до 21 часов с выходными воскресенье-понедельник</li> <li>ипотека выгоднее на 4% для каждого сотрудника</li> <li>льготные условия кредитования</li> <li>ДМС с первого дня и льготное страхование для близких</li> <li>бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров: Okko, Сбер Маркет, Delivery Club, Самокат, Ситимобил, Сбер Еаптека и другие</li> <li>корпоративная пенсионная программа</li> <li>обучение за счет компании: онлайн курсы в Виртуальной школе Сбера, возможность получить новую квалификацию</li> <li>курсы для будущих родителей, материальная поддержка молодых мам, детский отдых и подарки за счет компании</li> </ul> <ul> <li>Скидки на продукты банка и экосистемы</li> </ul>",Сбербанк
0,66071029,Клиентский менеджер (Прямые продажи),"<p>Сбер — лучший работодатель России. У нас более 60 компаний экосистемы и 14 тысяч подразделений по всей стране.</p> <p> </p> <p>У каждого нашего зарплатного клиента – компаний партнеров — есть свой эксперт по финансовым вопросам. Он приезжает в офисы партнеров банка несколько раз в неделю, презентует наши продукты, консультирует сотрудников компании по продуктам и сервисам, а также помогает с их оформлением.<br />Это работа для тех, кому интересны сфера продаж, развитие навыков убеждения, личных переговоров и выступлений. А также привлекает работа вне офиса.</p> <p> </p> <p> </p> <p><strong>Тебе предстоит:</strong></p> <p> </p> <ul> <li>выезжать к клиентам на индивидуальные консультации</li> <li>проводить презентации сервисов Сбера на территории компаний-партнеров</li> <li>предлагать сервисы Сбера и помогать с их оформлением.</li> </ul> <p> </p> <p><strong>Работа в Сбере – это: </strong></p> <ul> <li>стабильный оклад и социальная поддержка сотрудников</li> <li>официальное оформление с первого дня</li> <li>расширенный ДМС с первого дня и льготное страхование для близких</li> <li>мобильная связь, корпоративный ipad</li> <li>оплата транспортных расходов</li> <li>теплая база клиентов</li> <li>корпоративное обучение за счет компании</li> <li>бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров: Okko, Сбер Маркет, Delivery Club, Самокат, Сбер Еаптека и других</li> <li>корпоративная пенсионная программа</li> <li>ипотека выгоднее на 4% для каждого сотрудника.</li> </ul> <p> </p> <p> </p> <p>Присоединяйся к команде клиентских менеджеров Сбера!</p>",Сбербанк
